2017/06/24 | 10:54:40 | WARN | Issuing page refresh command to socket ID:lX15GHS-W8qXyOOKAAAA REASON : User not found in active sessions
2017/06/24 | 10:54:43 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:54:43 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:54:43 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:54:43 | INFO | nyxsys is now online.
2017/06/24 | 10:54:52 | INFO | nyxsys is now offline.
2017/06/24 | 10:54:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:54:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:54:52 | INFO | nyxsys is now online.
2017/06/24 | 10:55:52 | INFO | nyxsys is now offline.
2017/06/24 | 10:55:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:55:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:55:52 | INFO | nyxsys is now online.
2017/06/24 | 10:56:30 | INFO | nyxsys is now offline.
2017/06/24 | 10:56:30 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:56:30 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:56:30 | INFO | nyxsys is now online.
2017/06/24 | 10:56:48 | INFO | nyxsys is now offline.
2017/06/24 | 10:56:48 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:56:48 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:56:48 | INFO | nyxsys is now online.
2017/06/24 | 10:59:35 | INFO | nyxsys is now offline.
2017/06/24 | 10:59:35 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:59:35 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:59:35 | INFO | nyxsys is now online.
2017/06/24 | 10:59:52 | INFO | nyxsys is now offline.
2017/06/24 | 10:59:52 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:59:52 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:59:52 | INFO | nyxsys is now online.
2017/06/24 | 10:59:56 | INFO | nyxsys is now offline.
2017/06/24 | 10:59:56 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:59:56 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:59:56 | INFO | nyxsys is now online.
2017/06/24 | 11:01:52 | INFO | Starting system.
2017/06/24 | 11:01:52 | INFO | Initializing system components.
2017/06/24 | 11:01:52 | INFO | Attempting to connect to the database.
2017/06/24 | 11:01:52 | INFO | System initialization completed.
2017/06/24 | 11:01:52 | INFO | Database connection success.
2017/06/24 | 11:01:53 | WARN | Issuing page refresh command to socket ID:aZC-BfQPfGSv5XqfAAAA REASON : User not found in active sessions
2017/06/24 | 11:01:57 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 11:01:58 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 11:01:58 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 11:01:58 | INFO | nyxsys is now online.
2017/06/24 | 11:05:16 | INFO | Starting system.
2017/06/24 | 11:05:16 | INFO | Initializing system components.
2017/06/24 | 11:05:16 | INFO | Attempting to connect to the database.
2017/06/24 | 11:05:16 | INFO | System initialization completed.
2017/06/24 | 11:05:16 | INFO | Database connection success.
2017/06/24 | 11:05:19 | WARN | Issuing page refresh command to socket ID:YjpsqSQbwLd7nidSAAAA REASON : User not found in active sessions
2017/06/24 | 11:05:23 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 11:05:23 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 11:05:23 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 11:05:23 | INFO | nyxsys is now online.
2017/06/24 | 11:08:16 | INFO | Starting system.
2017/06/24 | 11:08:16 | INFO | Initializing system components.
2017/06/24 | 11:08:16 | INFO | Attempting to connect to the database.
2017/06/24 | 11:08:16 | INFO | System initialization completed.
2017/06/24 | 11:08:16 | INFO | Database connection success.
